47,python,轻松学Python,00后编程这么厉害啦！分分钟用Python爬取西虹市首富，惹不起啊！,139000.0,41.0,2018/8/25,01:50:01,https://www.bilibili.com/video/av30272877?from=search
48,python,隔壁家de老刘,七天学会Python，简而精,136000.0,6313.0,2018/9/13,25:00:58,https://www.bilibili.com/video/av31617063?from=search
49,python,AI_MOOC,机器学习算法基础,135000.0,2713.0,2018/12/11,20:51:52,https://www.bilibili.com/video/av37947862?from=search
50,python,阿磊与雪妹,零基础自学编程，不要学Python！| 推荐 2019 年适合学习的编程语言,135000.0,292.0,2019/5/28,06:57:00,https://www.bilibili.com/video/av53795296?from=search
51,python,缥霖,【计算机语言】零基础学python语言（北京理工大学）,135000.0,1762.0,2017/9/20,05:24:12,https://www.bilibili.com/video/av14634659?from=search
52,python,远东北亚巨虎,非洲滚刀肉蜜獾的十大胜绩,129000.0,1252.0,2017/8/26,11:53:00,https://www.bilibili.com/video/av13817142?from=search
53,python,你石磯娘娘,【北京大学】人工智能实践：Tensorflow笔记,126000.0,1049.0,2018/4/25,05:03:31,https://www.bilibili.com/video/av22530538?from=search
54,python,传智博学谷,2019全新Python入门/Python自学/PYTHON3/Python从入门到精通,124000.0,3858.0,2019/7/17,21:08:03,https://www.bilibili.com/video/av59562092?from=search
55,python,是小泥巴吖,【阴阳师】实体外挂,120000.0,134.0,2017/8/31,01:42:00,https://www.bilibili.com/video/av14006337?from=search
56,python,winfylee,【跳几跳】安卓最强跳一跳外挂，无需电脑，无需python，轻松上手,120000.0,171.0,2018/1/3,04:32:00,https://www.bilibili.com/video/av17933487?from=search
57,python,woshigzp,python数据结构与算法系列课程,118000.0,2192.0,2018/4/2,15:03:11,https://www.bilibili.com/video/av21540971?from=search
58,python,逆风微笑的程序猿,【老男孩教育】 python全栈工程师基础+就业班 第三期（103天完结版）,118000.0,1146.0,2018/4/5,342:58:20,https://www.bilibili.com/video/av21663728?from=search
59,python,英俊的沈醉,【沈醉】大二python实习生接受社会毒打vlog走出舒适圈痛苦996,117000.0,233.0,2019/7/27,02:34:00,https://www.bilibili.com/video/av60972843?from=search
60,python,莫烦Python,Matplotlib Python 画图教程 (莫烦Python),115000.0,1515.0,2017/11/16,02:29:35,https://www.bilibili.com/video/av16378354?from=search
61,python,偶尔有点小迷糊,当你放弃C语言而去学Python是什么感觉？,114000.0,230.0,2019/3/7,02:05:00,https://www.bilibili.com/video/av45580039?from=search
62,python,HACK学习,【2018黑客编程入门】Python黑客编程基础入门,113000.0,381.0,2018/2/23,01:51:33,https://www.bilibili.com/video/av19940317?from=search
63,python,中梓星音,用1000个卫星轨道画一只miku！,113000.0,735.0,2018/8/3,05:30:00,https://www.bilibili.com/video/av28374720?from=search
64,python,偶尔有点小迷糊,什么是递归？,108000.0,876.0,2019/8/1,10:58:00,https://www.bilibili.com/video/av61692380?from=search
65,python,逆风微笑的代码狗,python全栈工程师全套视频教程  B站时间最长的python教程,106000.0,521.0,2019/3/24,755:26:37,https://www.bilibili.com/video/av46693539?from=search
66,python,是落拓呀,3年Python程序员谈Python | 推不推荐学Python | 就业分析 | 除了Python还应该会什么 | Python程序员如何提高竞争力,101000.0,288.0,2019/9/22,13:33:00,https://www.bilibili.com/video/av68623396?from=search
67,python,每日CG教程盘点,【Python】2018老男孩 python 全栈第9期130天培训,97000.0,1135.0,2018/10/10,470:34:23,https://www.bilibili.com/video/av33573600?from=search
68,python,尚硅谷官方,尚硅谷Java视频教程_Dubbo,96000.0,1703.0,2018/8/29,04:17:25,https://www.bilibili.com/video/av30612478?from=search
69,python,eeerinzhang,Git & Github 超简单入门教学 10分钟学会使用github！,95000.0,387.0,2019/8/9,12:26:00,https://www.bilibili.com/video/av62967996?from=search
70,python,TenSanTOT,【Python入门课】最容易听懂的 Python 零基础入门课,95000.0,1109.0,2018/5/20,02:14:00,https://www.bilibili.com/video/av23687046?from=search
71,python,莫烦Python,Tkinter 做简单的窗口视窗 (GUI 莫烦 Python 教程),95000.0,963.0,2017/12/4,02:02:44,https://www.bilibili.com/video/av16942112?from=search
72,python,莫烦Python,Keras 快速搭建神经网络 (莫烦 Python 教程),94000.0,810.0,2017/12/3,02:04:39,https://www.bilibili.com/video/av16910214?from=search
73,python,欧阳求败,【Bad Apple】示波器版本,93000.0,219.0,2019/1/24,03:39:00,https://www.bilibili.com/video/av41511843?from=search
74,python,亦卿wish,机器学习算法-2017邹博最新（Python版）,93000.0,1675.0,2018/5/18,57:26:26,https://www.bilibili.com/video/av23585080?from=search
75,python,Maker毕,【CSGO编程】我写了个绝不会被封的“挂”|人工智能开发外挂？,93000.0,189.0,2019/6/7,07:19:00,https://www.bilibili.com/video/av54142160?from=search
76,python,传智博学谷,2019全新Java入门/Java编程/零基础Java/Java课程/Java基础,93000.0,2293.0,2019/7/10,29:59:05,https://www.bilibili.com/video/av58631226?from=search
77,python,莫烦Python,Scikit-learn (sklearn) 优雅地学会机器学习 (莫烦 Python 教程),93000.0,936.0,2017/12/6,01:37:44,https://www.bilibili.com/video/av17003173?from=search
78,python,Python新视界,Python爬取淘宝女郎，一起欣赏貌美的淘宝MM！,92000.0,109.0,2018/5/18,01:22:25,https://www.bilibili.com/video/av23592420?from=search
79,python,Python狂信者,只狼模型解包提取：终于知道破戒僧的长相了,92000.0,174.0,2019/5/10,03:48:00,https://www.bilibili.com/video/av52035203?from=search
80,python,孙老师非要尬聊,说说为什么我不赞成新人学Python,91000.0,588.0,2019/2/13,05:47:00,https://www.bilibili.com/video/av43395856?from=search
81,python,Cyru1s,【恋与跳一跳】【恋与X跳一跳X李泽言生贺】李总您的手游做好了,91000.0,1818.0,2018/1/12,18:18:00,https://www.bilibili.com/video/av18208979?from=search
82,python,莫烦Python,Python 爬虫基础教程  (莫烦 Scraping Tutorial),89000.0,739.0,2018/1/3,02:09:42,https://www.bilibili.com/video/av17920849?from=search
83,python,偶尔有点小迷糊,《三体》最多提到的是哪个词？30行代码得出结果,87000.0,507.0,2019/3/21,03:11:00,https://www.bilibili.com/video/av46929001?from=search
84,python,真全栈程序员,清华学霸尹成Python基础视频（27天完整版）,87000.0,903.0,2019/8/8,103:47:39,https://www.bilibili.com/video/av62631195?from=search
85,python,h1997l1997,人脸解锁自动开宿舍门树莓派Python,85000.0,137.0,2018/4/12,01:45:00,https://www.bilibili.com/video/av21996791?from=search
86,python,拿着叉子的闰土,Java全栈开发（从入门到入坟）,84000.0,708.0,2018/8/21,121:35:02,https://www.bilibili.com/video/av29905386?from=search
87,python,FrogMonster,【国人电音原创】像一只躁动的土拨鼠！FrogMonster -Marmota （Bass House),84000.0,34.0,2019/4/1,03:47:00,https://www.bilibili.com/video/av47937455?from=search
88,python,致敬大神,【一起啃书】Python编程从入门到实践,84000.0,935.0,2019/5/8,17:32:02,https://www.bilibili.com/video/av51845189?from=search
89,python,H光大小姐,[技术宅]体三维显示器+？,83000.0,1135.0,2014/12/19,13:18:00,https://www.bilibili.com/video/av1810700?from=search
90,python,CodeSheep,程序员宝库,开源社区GitHub到底该怎么玩 |如何玩转Github |Java/Python/C语言/C++开源项目聚集地,81000.0,185.0,2019/5/21,19:48:00,https://www.bilibili.com/video/av52974556?from=search
91,python,二进制学院,利用python提取骨骼动画教程,81000.0,112.0,2019/4/19,08:24:00,https://www.bilibili.com/video/av49812914?from=search
92,python,嗨学Python,pycharm使用教程,81000.0,1698.0,2017/8/21,56:37:00,https://www.bilibili.com/video/av13632259?from=search
93,python,Reindeer丨,[MIT] 计算机科学导论和python编程 (双语字幕) Programming in Python,80000.0,59.0,2019/7/22,09:58:26,https://www.bilibili.com/video/av60255379?from=search
94,python,CodeSheep,视频演示如何玩转一个开源项目 |如何运行+如何读代码 |顺便讲讲IDEA和Spring Boot |Java/Python/C语言/C++项目均适用 |视频教程,80000.0,519.0,2019/5/28,43:17:00,https://www.bilibili.com/video/av53750729?from=search
95,python,散不尽流年,Python 3.5 全栈开发（从入门到逼疯）,80000.0,902.0,2017/12/10,154:55:54,https://www.bilibili.com/video/av17118368?from=search
96,python,Arc_en_ciel,【Python】初学者完整教程 (强烈推荐！！),79000.0,528.0,2018/9/8,04:26:52,https://www.bilibili.com/video/av31294714?from=search
